PAYMENTID,ORDERID,CARD_EXP_DATE,CARD_NUMBER,PAYMENT_AMOUNT,PAYMENT_METHOD
91,91,11-Nov-02,1851851849646500,1217.69,VISA
92,92,11-Nov-02,1851851849646500,1301.4,VISA
93,93,11-Nov-02,1851851849646500,7.25,VISA
94,94,11-Nov-02,1851851849646510,7.25,VISA
95,95,11-Nov-02,1851851849646510,18.7,VISA
96,96,11-Nov-02,1851851849646510,30.86,VISA
97,97,11-Nov-02,1851851849646510,18.7,VISA
98,98,11-Nov-02,1851851849646510,30.86,VISA
99,99,11-Nov-02,1851851849646510,18.7,VISA
100,100,11-Nov-02,1851851849646510,30.86,VISA
101,101,11-Nov-02,1851851849646520,184.45,VISA
102,102,11-Nov-02,1851851849646520,30.86,VISA
103,103,11-Nov-02,1851851849646520,18.7,VISA
104,104,11-Nov-02,1851851849646520,30.86,VISA
105,105,11-Nov-02,1851851849646520,18.7,VISA
106,106,11-Nov-02,1851851849646520,30.86,VISA
107,107,11-Nov-02,1851851849646520,19.33,VISA
108,108,11-Nov-02,1851851849646530,31.91,VISA
109,109,11-Nov-02,1851851849646530,21.42,VISA
110,110,11-Nov-02,1851851849646530,35.35,VISA
111,111,11-Nov-02,1851851849646530,22,VISA
112,112,11-Nov-02,1851851849646530,36.3,VISA
113,113,11-Nov-02,1851851849646530,29.6,VISA
114,114,11-Nov-02,1851851849646540,48.85,VISA
115,115,11-Nov-02,1851851849646540,37.2,VISA
116,116,11-Nov-02,1851851849646540,61.38,VISA
117,117,11-Nov-02,1851851849646540,21.74,VISA
118,118,11-Nov-02,1851851849646540,35.85,VISA
119,119,11-Nov-02,1851851849646540,27.51,VISA
120,120,11-Nov-02,1851851849646540,45.39,VISA
121,121,11-Nov-02,1851851849646550,58.34,VISA
122,122,11-Nov-02,1851851849646550,66.53,VISA
123,123,11-Nov-02,1851851849646550,31.64,VISA
124,124,11-Nov-02,1851851849646550,52.19,VISA
125,125,11-Nov-02,1851851849646550,37.15,VISA
126,126,11-Nov-02,1851851849646550,61.27,VISA
127,127,11-Nov-02,1851851849646550,37.75,VISA
128,128,11-Nov-02,1851851849646560,63.53,VISA
129,129,11-Nov-02,1851851849646560,39.31,VISA
130,130,11-Nov-02,1851851849646560,64.82,VISA
131,131,11-Nov-02,1851851849646560,39.89,VISA
132,132,11-Nov-02,1851851849646560,65.81,VISA
133,133,11-Nov-02,1851851849646560,42.64,VISA
134,134,11-Nov-02,1851851849646570,70.34,VISA
135,135,11-Nov-02,1851851849646570,45.4,VISA
136,136,11-Nov-02,1851851849646570,74.88,VISA
137,137,11-Nov-02,1851851849646570,47.99,VISA
138,138,11-Nov-02,1851851849646570,79.2,VISA
139,139,11-Nov-02,1851851849646570,55.01,VISA
140,140,11-Nov-02,1851851849646580,90.76,VISA
141,141,11-Nov-02,1851851849646580,57.34,VISA
142,142,11-Nov-02,1851851849646580,94.62,VISA
143,143,11-Nov-02,1851851849646580,63.47,VISA
144,144,11-Nov-02,1851851849646580,118.9,VISA
145,145,11-Nov-02,1851851849646580,75.65,VISA
146,146,11-Nov-02,1851851849646580,124.79,VISA
147,147,11-Nov-02,1851851849646590,78.4,VISA
148,148,11-Nov-02,1851851849646590,129.34,VISA
149,149,11-Nov-02,1851851849646590,6.67,VISA
150,150,11-Nov-02,1851851849646590,8.16,VISA
151,151,11-Nov-02,1851851849646590,9.63,VISA
152,152,11-Nov-02,1851851849646590,20.75,VISA
153,153,11-Nov-02,1851851849646600,22.24,VISA
154,154,11-Nov-02,1851851849646600,23.73,VISA
155,155,11-Nov-02,1851851849646600,26.69,VISA
156,156,11-Nov-02,1851851849646600,35.15,VISA
157,157,11-Nov-02,1851851849646600,34.84,VISA
158,158,11-Nov-02,1851851849646600,37.06,VISA
159,159,11-Nov-02,1851851849646600,42.26,VISA
160,160,11-Nov-02,1851851849646610,42.26,VISA
161,161,11-Nov-02,1851851849646610,50.41,VISA
162,162,11-Nov-02,1851851849646610,59.3,VISA
163,163,11-Nov-02,1851851849646610,68.09,VISA
164,164,11-Nov-02,1851851849646610,120.34,VISA
165,165,11-Nov-02,1851851849646610,237.44,VISA
166,166,11-Nov-02,1851851849646610,224.33,VISA
167,167,11-Nov-02,1851851849646620,18.14,VISA
168,168,11-Nov-02,1851851849646620,18.14,VISA
169,169,11-Nov-02,1851851849646620,18.14,VISA
170,170,11-Nov-02,1851851849646620,18.14,VISA
171,171,11-Nov-02,1851851849646620,21.68,VISA
172,172,11-Nov-02,1851851849646630,21.68,VISA
173,173,11-Nov-02,1851851849646630,26.75,VISA
174,174,11-Nov-02,1851851849646630,26.75,VISA
175,175,11-Nov-02,1851851849646630,33.89,VISA
176,176,11-Nov-02,1851851849646630,33.89,VISA
177,177,11-Nov-02,1851851849646630,33.89,VISA
178,178,11-Nov-02,1851851849646630,44.5,VISA
179,179,11-Nov-02,1851851849646640,44.5,VISA
180,180,11-Nov-02,1851851849646640,44.5,VISA
181,181,11-Nov-02,1851851849646640,47.83,VISA
182,182,11-Nov-02,1851851849646640,47.83,VISA
183,183,11-Nov-02,1851851849646640,47.83,VISA
184,184,11-Nov-02,1851851849646640,55.01,VISA
185,185,11-Nov-02,1851851849646640,55.01,VISA
186,186,11-Nov-02,1851851849646650,55.05,VISA
187,187,11-Nov-02,1851851849646650,61.85,VISA
188,188,11-Nov-02,1851851849646650,61.85,VISA
189,189,11-Nov-02,1851851849646650,61.85,VISA
190,190,11-Nov-02,1851851849646650,66.06,VISA
191,191,11-Nov-02,1851851849646650,66.06,VISA
192,192,11-Nov-02,1851851849646660,66.06,VISA
193,193,11-Nov-02,1851851849646660,85.95,VISA
194,194,11-Nov-02,1851851849646660,85.95,VISA
195,195,11-Nov-02,1851851849646660,85.95,VISA
196,196,11-Nov-02,1851851849646660,85.95,VISA
197,197,11-Nov-02,1851851849646660,85.95,VISA
198,198,11-Nov-02,1851851849646660,95.77,VISA
199,199,11-Nov-02,1851851849646670,95.77,VISA
200,200,11-Nov-02,1851851849646670,95.77,VISA
201,201,11-Nov-02,1851851849646670,102.02,VISA
202,202,11-Nov-02,1851851849646670,102.02,VISA
203,203,11-Nov-02,1851851849646670,152.89,VISA
204,204,11-Nov-02,1851851849646670,152.89,VISA
205,205,11-Nov-02,1851851849646670,152.89,VISA
206,206,11-Nov-02,1851851849646680,152.89,VISA
207,207,11-Nov-02,1851851849646680,183.72,VISA
208,208,11-Nov-02,1851851849646680,183.72,VISA
209,209,11-Nov-02,1851851849646680,183.72,VISA
210,210,11-Nov-02,1851851849646680,209.11,VISA
211,211,11-Nov-02,1851851849646690,209.11,VISA
212,212,11-Nov-02,1851851849646690,209.11,VISA
213,213,11-Nov-02,1851851849646690,209.11,VISA
214,214,11-Nov-02,1851851849646690,209.11,VISA
215,215,11-Nov-02,1851851849646690,265.52,VISA
216,216,11-Nov-02,1851851849646690,265.52,VISA
217,217,11-Nov-02,1851851849646690,275.15,VISA
218,218,11-Nov-02,1851851849646700,275.15,VISA
219,219,11-Nov-02,1851851849646700,275.15,VISA
220,220,11-Nov-02,1851851849646700,372.78,VISA
221,221,11-Nov-02,1851851849646700,372.78,VISA
222,222,11-Nov-02,1851851849646700,372.78,VISA
223,223,11-Nov-02,1851851849646700,406.61,VISA
224,224,11-Nov-02,1851851849646700,406.61,VISA
225,225,11-Nov-02,1851851849646710,406.61,VISA
226,226,11-Nov-02,1851851849646710,406.61,VISA
227,227,11-Nov-02,1851851849646710,691.96,VISA
228,228,11-Nov-02,1851851849646710,691.96,VISA
229,229,11-Nov-02,1851851849646710,828.09,VISA
230,230,11-Nov-02,1851851849646710,902.5,VISA
231,231,11-Nov-02,1851851849646720,938.06,VISA
232,232,11-Nov-02,1851851849646720,938.06,VISA
233,233,11-Nov-02,1851851849646720,938.06,VISA
234,234,11-Nov-02,1851851849646720,938.06,VISA
235,235,11-Nov-02,1851851849646720,938.06,VISA
236,236,11-Nov-02,1851851849646720,1433.59,VISA
237,237,11-Nov-02,1851851849646720,1414.51,VISA
238,238,11-Nov-02,1851851849646730,265.52,VISA
239,239,11-Nov-02,1851851849646730,275.15,VISA
240,240,11-Nov-02,1851851849646730,372.78,VISA
241,241,11-Nov-02,1851851849646730,406.61,VISA
242,242,11-Nov-02,1851851849646730,691.96,VISA
243,243,11-Nov-02,1851851849646740,691.96,VISA
244,244,11-Nov-02,1851851849646740,902.5,VISA
245,245,11-Nov-02,1851851849646740,938.06,VISA
246,246,11-Nov-02,1851851849646740,938.06,VISA
247,247,11-Nov-02,1851851849646740,1197.88,VISA
248,248,11-Nov-02,1851851849646750,1414.51,VISA
249,249,11-Nov-02,1851851849646750,18.14,VISA
250,250,11-Nov-02,1851851849646750,18.14,VISA
251,251,11-Nov-02,1851851849646750,18.14,VISA
252,252,11-Nov-02,1851851849646750,18.14,VISA
253,253,11-Nov-02,1851851849646750,18.14,VISA
254,254,11-Nov-02,1851851849646750,18.14,VISA
255,255,11-Nov-02,1851851849646760,21.68,VISA
256,256,11-Nov-02,1851851849646760,21.68,VISA
257,257,11-Nov-02,1851851849646760,21.68,VISA
258,258,11-Nov-02,1851851849646760,26.75,VISA
259,259,11-Nov-02,1851851849646760,26.75,VISA
260,260,11-Nov-02,1851851849646760,26.75,VISA
261,261,11-Nov-02,1851851849646770,26.75,VISA
262,262,11-Nov-02,1851851849646770,33.89,VISA
263,263,11-Nov-02,1851851849646770,33.89,VISA
264,264,11-Nov-02,1851851849646770,33.89,VISA
265,265,11-Nov-02,1851851849646770,33.89,VISA
266,266,11-Nov-02,1851851849646770,44.5,VISA
267,267,11-Nov-02,1851851849646780,44.5,VISA
268,268,11-Nov-02,1851851849646780,44.5,VISA
269,269,11-Nov-02,1851851849646780,44.5,VISA
270,270,11-Nov-02,1851851849646780,44.5,VISA
271,271,11-Nov-02,1851851849646780,44.5,VISA
272,272,11-Nov-02,1851851849646780,47.83,VISA
273,273,11-Nov-02,1851851849646780,47.83,VISA
274,274,11-Nov-02,1851851849646790,47.83,VISA
275,275,11-Nov-02,1851851849646790,47.83,VISA
276,276,11-Nov-02,1851851849646790,55.01,VISA
277,277,11-Nov-02,1851851849646790,55.01,VISA
278,278,11-Nov-02,1851851849646790,55.01,VISA
279,279,11-Nov-02,1851851849646790,55.01,VISA
280,280,11-Nov-02,1851851849646790,61.85,VISA
281,281,11-Nov-02,1851851849646800,61.85,VISA
282,282,11-Nov-02,1851851849646800,61.85,VISA
283,283,11-Nov-02,1851851849646800,61.85,VISA
284,284,11-Nov-02,1851851849646800,66.06,VISA
285,285,11-Nov-02,1851851849646800,66.06,VISA
286,286,11-Nov-02,1851851849646800,66.06,VISA
287,287,11-Nov-02,1851851849646810,66.06,VISA
288,288,11-Nov-02,1851851849646810,66.06,VISA
289,289,11-Nov-02,1851851849646810,85.95,VISA
290,290,11-Nov-02,1851851849646810,85.95,VISA
291,291,11-Nov-02,1851851849646810,85.95,VISA
292,292,11-Nov-02,1851851849646810,95.77,VISA
293,293,11-Nov-02,1851851849646810,95.77,VISA
294,294,11-Nov-02,1851851849646820,102.02,VISA
295,295,11-Nov-02,1851851849646820,152.89,VISA
296,296,11-Nov-02,1851851849646820,153.47,VISA
297,297,11-Nov-02,1851851849646820,183.72,VISA
298,298,11-Nov-02,1851851849646820,209.11,VISA
299,299,11-Nov-02,1851851849646820,209.11,VISA
300,300,11-Nov-02,1851851849646820,34.07,VISA
301,301,11-Nov-02,1851851849646830,34.07,VISA
302,302,11-Nov-02,1851851849646830,35.4,VISA
303,303,11-Nov-02,1851851849646830,35.4,VISA
304,304,11-Nov-02,1851851849646830,46.22,VISA
305,305,11-Nov-02,1851851849646830,47.75,VISA
306,306,11-Nov-02,1851851849646830,48.04,VISA
307,307,11-Nov-02,1851851849646840,63.2,VISA
308,308,11-Nov-02,1851851849646840,63.2,VISA
309,309,11-Nov-02,1851851849646840,65.03,VISA
310,310,11-Nov-02,1851851849646840,65.17,VISA
311,311,11-Nov-02,1851851849646840,82.54,VISA
312,312,11-Nov-02,1851851849646840,82.54,VISA
313,313,11-Nov-02,1851851849646840,82.54,VISA
314,314,11-Nov-02,1851851849646850,84.25,VISA
315,315,11-Nov-02,1851851849646850,84.57,VISA
316,316,11-Nov-02,1851851849646850,133.16,VISA
317,317,11-Nov-02,1851851849646850,133.16,VISA
318,318,11-Nov-02,1851851849646850,133.16,VISA
319,319,11-Nov-02,1851851849646850,135.43,VISA
320,320,11-Nov-02,1851851849646850,138.88,VISA
321,321,11-Nov-02,1851851849646860,173.25,VISA
322,322,11-Nov-02,1851851849646860,173.99,VISA
323,323,11-Nov-02,1851851849646860,177.2,VISA
324,324,11-Nov-02,1851851849646860,177.53,VISA
325,325,11-Nov-02,1851851849646860,177.53,VISA
326,326,11-Nov-02,1851851849646860,14.09,VISA
327,327,11-Nov-02,1851851849646870,25.2,VISA
328,328,11-Nov-02,1851851849646870,66.72,VISA
329,329,11-Nov-02,1851851849646870,207.58,VISA
330,330,11-Nov-02,1851851849646870,997.84,VISA
331,331,11-Nov-02,1851851849646870,207.58,VISA
332,332,11-Nov-02,1851851849646870,8.43,VISA
333,333,11-Nov-02,1851851849646870,8.43,VISA
334,334,11-Nov-02,1851851849646880,4.56,VISA
335,335,11-Nov-02,1851851849646880,8.43,VISA
336,336,11-Nov-02,1851851849646880,4.56,VISA
337,337,11-Nov-02,1851851849646880,8.43,VISA
338,338,11-Nov-02,1851851849646880,8.43,VISA
339,339,11-Nov-02,1851851849646880,6.84,VISA
340,340,11-Nov-02,1851851849646880,8.43,VISA
341,341,11-Nov-02,1851851849646890,3.77,VISA
342,342,11-Nov-02,1851851849646890,8.43,VISA
343,343,11-Nov-02,1851851849646890,6.84,VISA
344,344,11-Nov-02,1851851849646890,3.77,VISA
345,345,11-Nov-02,1851851849646890,8.43,VISA
346,346,11-Nov-02,1851851849646890,6.84,VISA
347,347,11-Nov-02,1851851849646900,3.77,VISA
348,348,11-Nov-02,1851851849646900,8.81,VISA
349,349,11-Nov-02,1851851849646900,7.22,VISA
350,350,11-Nov-02,1851851849646900,3.77,VISA
351,351,11-Nov-02,1851851849646900,8.81,VISA
352,352,11-Nov-02,1851851849646910,7.22,VISA
353,353,11-Nov-02,1851851849646910,11.41,VISA
354,354,11-Nov-02,1851851849646910,5.41,VISA
355,355,11-Nov-02,1851851849646910,11.41,VISA
356,356,11-Nov-02,1851851849646910,4.18,VISA
357,357,11-Nov-02,1851851849646910,8.81,VISA
358,358,11-Nov-02,1851851849646910,7.6,VISA
359,359,11-Nov-02,1851851849646920,11.41,VISA
360,360,11-Nov-02,1851851849646920,5.99,VISA
361,361,11-Nov-02,1851851849646920,4.18,VISA
362,362,11-Nov-02,1851851849646920,7.6,VISA
363,363,11-Nov-02,1851851849646920,11.78,VISA
364,364,11-Nov-02,1851851849646920,5.99,VISA
365,365,11-Nov-02,1851851849646930,4.18,VISA
366,366,11-Nov-02,1851851849646930,7.6,VISA
367,367,11-Nov-02,1851851849646930,11.78,VISA
368,368,11-Nov-02,1851851849646930,5.99,VISA
369,369,11-Nov-02,1851851849646930,5.01,VISA
370,370,11-Nov-02,1851851849646930,8.2,VISA
371,371,11-Nov-02,1851851849646930,12.94,VISA
372,372,11-Nov-02,1851851849646940,7.72,VISA
373,373,11-Nov-02,1851851849646940,5.32,VISA
374,374,11-Nov-02,1851851849646940,8.89,VISA
375,375,11-Nov-02,1851851849646940,13.36,VISA
376,376,11-Nov-02,1851851849646940,8.29,VISA
377,377,11-Nov-02,1851851849646940,6.28,VISA
378,378,11-Nov-02,1851851849646950,9.67,VISA
379,379,11-Nov-02,1851851849646950,15.25,VISA
380,380,11-Nov-02,1851851849646950,9.28,VISA
381,381,11-Nov-02,1851851849646950,6.73,VISA
382,382,11-Nov-02,1851851849646950,10.89,VISA
383,383,11-Nov-02,1851851849646950,8.61,VISA
384,384,11-Nov-02,1851851849646960,10.89,VISA
385,385,11-Nov-02,1851851849646960,9,VISA
386,386,11-Nov-02,1851851849646960,11.97,VISA
387,387,11-Nov-02,1851851849646960,9,VISA
388,388,11-Nov-02,1851851849646960,14.31,VISA
389,389,11-Nov-02,1851851849646960,9,VISA
390,390,11-Nov-02,1851851849646960,15.16,VISA
391,391,11-Nov-02,1851851849646970,10.8,VISA
392,392,11-Nov-02,1851851849646970,16.33,VISA
393,393,11-Nov-02,1851851849646970,12.94,VISA
394,394,11-Nov-02,1851851849646970,18.27,VISA
395,395,11-Nov-02,1851851849646970,13.94,VISA
396,396,11-Nov-02,1851851849646970,20.09,VISA
397,397,11-Nov-02,1851851849646980,14.56,VISA
398,398,11-Nov-02,1851851849646980,20.09,VISA
399,399,11-Nov-02,1851851849646980,110.05,VISA
400,400,11-Nov-02,1851851849646980,76.95,VISA
401,401,11-Nov-02,1851851849646980,108.18,VISA
402,402,11-Nov-02,1851851849646980,47.44,VISA
403,403,11-Nov-02,1851851849646990,3.77,VISA
404,404,11-Nov-02,1851851849646990,8.46,VISA
405,405,11-Nov-02,1851851849646990,6.84,VISA
406,406,11-Nov-02,1851851849646990,3.77,VISA
407,407,11-Nov-02,1851851849646990,6.84,VISA
408,408,11-Nov-02,1851851849646990,3.77,VISA
409,409,11-Nov-02,1851851849646990,14.03,VISA
410,410,11-Nov-02,1851851849647000,8.46,VISA
411,411,11-Nov-02,1851851849647000,6.84,VISA
412,412,11-Nov-02,1851851849647000,3.77,VISA
413,413,11-Nov-02,1851851849647000,7.22,VISA
414,414,11-Nov-02,1851851849647000,11.41,VISA
415,415,11-Nov-02,1851851849647000,5.41,VISA
416,416,11-Nov-02,1851851849647000,3.77,VISA
417,417,11-Nov-02,1851851849647010,8.46,VISA
418,418,11-Nov-02,1851851849647010,7.22,VISA
419,419,11-Nov-02,1851851849647010,11.41,VISA
420,420,11-Nov-02,1851851849647010,5.41,VISA
421,421,11-Nov-02,1851851849647010,4.19,VISA
422,422,11-Nov-02,1851851849647020,7.6,VISA
423,423,11-Nov-02,1851851849647020,11.41,VISA
424,424,11-Nov-02,1851851849647020,5.41,VISA
425,425,11-Nov-02,1851851849647020,4.19,VISA
426,426,11-Nov-02,1851851849647020,7.6,VISA
427,427,11-Nov-02,1851851849647020,11.78,VISA
428,428,11-Nov-02,1851851849647020,5.99,VISA
429,429,11-Nov-02,1851851849647030,4.19,VISA
430,430,11-Nov-02,1851851849647030,8.46,VISA
431,431,11-Nov-02,1851851849647030,7.6,VISA
432,432,11-Nov-02,1851851849647030,11.78,VISA
433,433,11-Nov-02,1851851849647030,5.99,VISA
434,434,11-Nov-02,1851851849647030,4.3,VISA
435,435,11-Nov-02,1851851849647030,7.8,VISA
436,436,11-Nov-02,1851851849647040,11.78,VISA
437,437,11-Nov-02,1851851849647040,5.99,VISA
438,438,11-Nov-02,1851851849647040,4.3,VISA
439,439,11-Nov-02,1851851849647040,8.46,VISA
440,440,11-Nov-02,1851851849647040,7.8,VISA
441,441,11-Nov-02,1851851849647050,11.78,VISA
442,442,11-Nov-02,1851851849647050,5.99,VISA
443,443,11-Nov-02,1851851849647050,5.14,VISA
444,444,11-Nov-02,1851851849647050,8.42,VISA
445,445,11-Nov-02,1851851849647050,12.94,VISA
446,446,11-Nov-02,1851851849647050,7.53,VISA
447,447,11-Nov-02,1851851849647050,5.14,VISA
448,448,11-Nov-02,1851851849647060,9.13,VISA
449,449,11-Nov-02,1851851849647060,14.03,VISA
450,450,11-Nov-02,1851851849647060,7.72,VISA
451,451,11-Nov-02,1851851849647060,5.47,VISA
452,452,11-Nov-02,1851851849647060,9.13,VISA
453,453,11-Nov-02,1851851849647060,8.11,VISA
454,454,11-Nov-02,1851851849647060,6.45,VISA
455,455,11-Nov-02,1851851849647070,9.41,VISA
456,456,11-Nov-02,1851851849647070,14.48,VISA
457,457,11-Nov-02,1851851849647070,8.29,VISA
458,458,11-Nov-02,1851851849647070,6.45,VISA
459,459,11-Nov-02,1851851849647070,9.92,VISA
460,460,11-Nov-02,1851851849647070,15.25,VISA
461,461,11-Nov-02,1851851849647080,9.28,VISA
462,462,11-Nov-02,1851851849647080,6.45,VISA
463,463,11-Nov-02,1851851849647080,11.18,VISA
464,464,11-Nov-02,1851851849647080,6.92,VISA
465,465,11-Nov-02,1851851849647080,11.18,VISA
466,466,11-Nov-02,1851851849647080,8.85,VISA
467,467,11-Nov-02,1851851849647080,11.18,VISA
468,468,11-Nov-02,1851851849647090,8.85,VISA
469,469,11-Nov-02,1851851849647090,12.29,VISA
470,470,11-Nov-02,1851851849647090,9.24,VISA
471,471,11-Nov-02,1851851849647090,14.69,VISA
472,472,11-Nov-02,1851851849647090,9.24,VISA
473,473,11-Nov-02,1851851849647090,14.69,VISA
474,474,11-Nov-02,1851851849647090,9.24,VISA
475,475,11-Nov-02,1851851849647100,15.57,VISA
476,476,11-Nov-02,1851851849647100,9.24,VISA
477,477,11-Nov-02,1851851849647100,15.57,VISA
478,478,11-Nov-02,1851851849647100,9.35,VISA
479,479,11-Nov-02,1851851849647100,16.33,VISA
480,480,11-Nov-02,1851851849647110,10.81,VISA
481,481,11-Nov-02,1851851849647110,16.33,VISA
482,482,11-Nov-02,1851851849647110,12.94,VISA
483,483,11-Nov-02,1851851849647110,18.27,VISA
484,484,11-Nov-02,1851851849647110,12.94,VISA
485,485,11-Nov-02,1851851849647110,18.27,VISA
486,486,11-Nov-02,1851851849647120,13.95,VISA
487,487,11-Nov-02,1851851849647120,20.1,VISA
488,488,11-Nov-02,1851851849647120,14.56,VISA
489,489,11-Nov-02,1851851849647120,20.1,VISA
490,490,11-Nov-02,1851851849647120,8.46,VISA
491,491,11-Nov-02,1851851849647120,8.46,VISA
492,492,11-Nov-02,1851851849647130,8.46,VISA
493,493,11-Nov-02,1851851849647130,8.46,VISA
494,494,11-Nov-02,1851851849647130,3.77,VISA
495,495,11-Nov-02,1851851849647130,8.46,VISA
496,496,11-Nov-02,1851851849647130,6.84,VISA
497,497,11-Nov-02,1851851849647140,3.77,VISA
498,498,11-Nov-02,1851851849647140,6.84,VISA
499,499,11-Nov-02,1851851849647140,55.83,VISA
500,500,11-Nov-02,1851851849647140,69.1,VISA
501,501,11-Nov-02,1851851849647140,22.01,VISA
502,502,11-Nov-02,1851851849647140,67.91,VISA
503,503,11-Nov-02,1851851849647140,63.13,VISA
504,504,11-Nov-02,1851851849647150,26.1,VISA
505,505,11-Nov-02,1851851849647150,4.56,VISA
506,506,11-Nov-02,1851851849647150,4.56,VISA
507,507,11-Nov-02,1851851849647150,15.98,VISA
508,508,11-Nov-02,1851851849647150,6.66,VISA
509,509,11-Nov-02,1851851849647150,11.05,VISA
510,510,11-Nov-02,1851851849647150,6.66,VISA
511,511,11-Nov-02,1851851849647160,11.05,VISA
512,512,11-Nov-02,1851851849647160,6.66,VISA
513,513,11-Nov-02,1851851849647160,11.05,VISA
